latitude,longitude,cell,row,column
22.59225,114.028469,11-20,11,20
22.587607000000002,114.01778600000002,11-20,11,20
22.578825,114.01496100000001,11-20,11,20
22.566919,114.016857,11-20,11,20
22.555838,114.01568200000001,11-20,11,20
22.554282999999998,114.011756,11-20,11,20
22.552975,114.007807,11-20,11,20
22.552935,114.002003,11-20,11,20
22.553946,113.99888100000001,11-19,11,19
22.555719,113.994804,11-19,11,19
22.555918,113.990834,11-19,11,19
22.555541,113.989011,11-19,11,19
22.554897,113.985824,11-19,11,19
22.554035,113.981908,11-19,11,19
22.553569,113.97850700000001,11-19,11,19
22.554282999999998,113.975449,11-19,11,19
22.55453,113.971984,11-19,11,19
22.554223,113.96944099999999,11-19,11,19
22.553599,113.9656,11-19,11,19
22.55345,113.962199,11-19,11,19
22.553262,113.95766100000002,11-19,11,19
22.552836,113.953552,11-19,11,19
22.552032999999998,113.94838,11-18,11,18
22.552331,113.94258700000002,11-18,11,18
22.552578,113.922969,11-18,11,18
22.550082,113.916875,11-18,11,18
22.547188000000002,113.91331299999999,10-18,10,18
22.550359,113.910867,11-18,11,18
22.552737,113.90970800000001,11-18,11,18
22.555868,113.90678999999999,11-18,11,18
22.558563,113.903228,11-18,11,18
22.564865,113.89674699999999,11-17,11,17
22.576238,113.884946,11-17,11,17
22.601833,113.864543,12-17,12,17
22.617367,113.85493100000001,12-17,12,17
22.618833,113.84876399999999,12-16,12,16
22.618041,113.845975,12-16,12,16
22.616922,113.841458,12-16,12,16
22.614674,113.835943,12-16,12,16
22.611891,113.83004199999999,12-16,12,16
22.608365,113.822897,12-16,12,16
22.605086,113.81558500000001,12-16,12,16
22.603343,113.81468400000001,12-16,12,16
22.602392000000002,113.813826,12-16,12,16
