latitude,longitude,cell,row,column
22.589633,114.02838799999999,11-20,11,20
22.590421,114.027369,11-20,11,20
22.587888,114.011918,11-20,11,20
22.586818,114.001772,11-20,11,20
22.582684,113.987648,11-19,11,19
22.562801999999998,113.97008100000001,11-19,11,19
22.562795,113.94767900000001,11-18,11,18
22.569799,113.923049,11-18,11,18
22.577434,113.91581599999999,11-18,11,18
22.59027,113.90444699999999,11-18,11,18
22.601507,113.89017700000001,12-17,12,17
22.614688,113.87921499999999,12-17,12,17
22.620959,113.86476699999999,12-17,12,17
22.620478,113.853277,12-17,12,17
22.616644,113.839653,12-16,12,16
22.612367000000003,113.83038300000001,12-16,12,16
22.605396,113.81562,12-16,12,16
