latitude,longitude,cell,row,column
22.614515,113.834647,12-16,12,16
22.625607000000002,113.855589,12-17,12,17
22.637016,113.866234,12-17,12,17
22.651593,113.876194,13-17,13,17
22.656343,113.894053,13-17,13,17
22.651377,113.905551,13-18,13,18
22.628239,113.91618700000001,12-18,12,18
22.595274,113.93059299999999,11-18,11,18
22.568333,113.93435600000001,11-18,11,18
22.563254,113.947397,11-18,11,18
22.561660999999997,113.960096,11-19,11,19
22.567041,113.97177099999999,11-19,11,19
22.578134,113.972122,11-19,11,19
22.583509,113.98826299999999,11-19,11,19
22.587931,114.00578,11-20,11,20
22.594576999999997,114.016089,11-20,11,20
22.608526,114.01438700000001,12-20,12,20
22.619937,114.01405600000001,12-20,12,20
22.622467999999998,114.018868,12-20,12,20
22.61771,114.022297,12-20,12,20
22.613267,114.027445,12-20,12,20
