latitude,longitude,cell,row,column
22.609478,114.03076599999999,12-20,12,20
22.601433,114.03776699999999,12-20,12,20
22.596394,114.04284399999999,11-20,11,20
22.59433,114.04541599999999,11-20,11,20
22.593854999999998,114.04794299999999,11-20,11,20
22.592512,114.049352,11-20,11,20
22.590654,114.051298,11-21,11,21
22.587845,114.055034,11-21,11,21
22.584046,114.05812,11-21,11,21
22.578552,114.06004399999999,11-21,11,21
22.576941,114.06091599999999,11-21,11,21
22.575929000000002,114.06237,11-21,11,21
22.575599,114.065344,11-21,11,21
22.574277,114.069929,11-21,11,21
22.571923,114.072345,11-21,11,21
22.567544,114.07265,11-21,11,21
22.567414000000003,114.072725,11-21,11,21
22.566954,114.073039,11-21,11,21
22.566706,114.07456,11-21,11,21
22.567718,114.078295,11-21,11,21
22.569886999999998,114.083216,11-21,11,21
22.568875,114.088673,11-21,11,21
22.565901,114.091044,11-21,11,21
22.564289000000002,114.092251,11-21,11,21
22.564476000000003,114.095047,11-21,11,21
22.566376,114.10166799999999,11-22,11,22
22.570795999999998,114.109473,11-22,11,22
22.573728,114.114193,11-22,11,22
22.574141,114.11777099999999,11-22,11,22
22.574947,114.11889,11-22,11,22
22.573211999999998,114.119382,11-22,11,22
22.568089999999998,114.11862099999999,11-22,11,22
22.564248000000003,114.11761499999999,11-22,11,22
22.557267,114.11721200000001,11-22,11,22
22.55483,114.116519,11-22,11,22
22.553797,114.11551200000001,11-22,11,22
22.549067,114.11506499999999,10-22,10,22
22.544089000000003,114.11555700000001,10-22,10,22
22.539668,114.116496,10-22,10,22
22.539254999999997,114.116161,10-22,10,22
22.539131,114.11575800000001,10-22,10,22
22.538573,114.115602,10-22,10,22
22.535144,114.11607099999999,10-22,10,22
22.534523999999998,114.11338700000002,10-22,10,22
22.534421,114.11099399999999,10-22,10,22
22.534509,114.11048000000001,10-22,10,22
